count,time,loc
1,264,122
2,248,122
3,302,122
4,300,122
5,300,122
6,275,122
7,261,122
8,282,122
9,272,122
10,279,122
11,281,122
12,275,122
13,284,122
14,284,122
15,278,122
16,286,122
17,267,122
18,270,122
19,249,122
20,277,122
21,289,122
22,297,122
23,301,122
24,286,122
25,304,122
26,287,122
27,288,122
28,285,122
29,284,122
30,277,122
31,277,122
32,283,122
33,266,122
34,301,122
35,266,122
36,277,122
37,294,122
38,301,122
39,297,122
40,298,122
41,264,122
42,304,122
43,287,122
44,285,122
45,299,122
46,288,122
47,294,122
48,297,122
49,294,122
50,293,122
51,281,122
52,277,122
53,291,122
54,307,122
55,309,122
56,286,122
57,322,122
58,273,122
59,276,122
60,267,122
61,264,122
62,310,122
63,331,122
64,353,122
65,288,122
66,300,122
67,278,122
68,271,122
69,296,122
70,285,122
71,293,122
72,309,122
73,287,122
74,316,122
75,290,122
76,253,122
77,312,122
78,301,122
79,272,122
80,300,122
81,277,122
82,283,122
83,273,122
84,275,122
85,274,122
86,279,122
87,301,122
88,293,122
89,287,122
90,266,122
91,287,122
92,276,122
93,278,122
94,266,122
95,271,122
96,297,122
97,288,122
98,297,122
99,260,122
100,278,122
