count,time,loc
1,292,122
2,260,124
3,252,128
4,200,128
5,200,129
6,209,131
7,230,132
8,218,133
9,200,134
10,194,134
11,200,136
12,220,137
13,183,138
14,185,139
15,174,140
16,168,141
17,160,142
18,174,143
19,164,144
20,149,144
21,151,146
22,164,147
23,152,148
24,176,149
25,151,149
26,150,151
27,150,152
28,169,153
29,149,154
30,157,155
31,176,156
32,159,157
33,158,158
34,139,159
35,145,160
36,139,161
37,144,162
38,140,163
39,142,164
40,146,165
41,143,166
42,156,167
43,144,168
44,152,169
45,149,170
46,164,171
47,158,172
48,158,173
49,142,174
50,114,174
51,120,176
52,129,177
53,122,178
54,138,179
55,132,180
56,136,181
57,136,182
58,132,183
59,142,184
60,131,185
61,137,186
62,130,187
63,135,188
64,122,189
65,121,190
66,121,191
67,129,192
68,131,193
69,124,194
70,119,195
71,125,196
72,121,197
73,149,198
74,138,199
75,127,200
76,129,201
77,135,202
78,133,203
79,126,204
80,123,205
81,131,206
82,142,207
83,141,208
84,144,209
85,136,210
86,137,211
87,134,212
88,143,213
89,145,214
90,125,215
91,129,216
92,135,217
93,124,218
94,139,219
95,138,220
96,145,221
97,140,222
98,135,223
99,143,224
100,51,114
101,50,114
102,51,114
103,50,114
104,50,114
105,51,114
106,50,114
107,49,114
108,51,114
109,49,114
110,50,114
111,51,114
112,49,114
113,49,114
114,49,114
115,51,114
116,49,114
117,50,114
118,49,114
119,50,114
120,48,114
121,48,114
122,49,114
123,50,114
124,49,114
125,50,114
126,50,114
127,49,114
128,52,114
129,50,114
130,51,114
131,50,114
132,50,114
133,50,114
134,49,114
135,49,114
136,49,114
137,50,114
138,49,114
139,50,114
140,49,114
141,50,114
142,51,114
143,50,114
144,50,114
145,50,114
146,51,114
147,50,114
148,50,114
149,51,114
150,49,114
151,49,114
152,48,114
153,49,114
154,52,114
155,50,114
156,50,114
157,50,114
158,49,114
159,50,114
160,50,114
161,50,114
162,51,114
163,50,114
164,50,114
165,51,114
166,49,114
167,49,114
168,50,114
169,50,114
170,50,114
171,50,114
172,49,114
173,49,114
174,49,114
175,50,114
176,51,114
177,50,114
178,49,114
179,51,114
180,50,114
181,51,114
182,50,114
183,50,114
184,50,114
185,50,114
186,49,114
187,48,114
188,51,114
189,49,114
190,50,114
191,51,114
192,49,114
193,54,114
194,50,114
195,49,114
196,50,114
197,51,114
198,50,114
199,50,114
200,51,114
201,50,114
202,50,114
203,50,114
204,49,114
205,50,114
206,50,114
207,49,114
208,50,114
209,50,114
210,50,114
211,51,114
212,51,114
213,49,114
214,51,114
215,51,114
216,50,114
217,51,114
218,50,114
219,49,114
220,51,114
221,51,114
222,50,114
223,51,114
224,51,114
225,49,114
226,49,114
227,49,114
228,48,114
229,51,114
230,51,114
231,50,114
232,50,114
233,51,114
234,51,114
235,50,114
236,51,114
237,52,114
238,50,114
239,50,114
240,50,114
241,49,114
242,51,114
243,50,114
244,50,114
245,51,114
246,49,114
247,50,114
248,49,114
249,50,114
250,50,114
251,50,114
252,51,114
253,50,114
254,49,114
255,49,114
256,50,114
257,49,114
258,52,114
259,50,114
260,50,114
261,50,114
262,50,114
263,50,114
264,50,114
265,51,114
266,51,114
267,50,114
268,50,114
269,50,114
270,50,114
271,51,114
272,50,114
273,50,114
274,50,114
275,50,114
276,52,114
277,50,114
278,52,114
279,52,114
280,49,114
281,49,114
282,50,114
283,48,114
284,51,114
285,50,114
286,52,114
287,50,114
288,50,114
289,50,114
290,51,114
291,51,114
292,51,114
293,50,114
294,51,114
295,50,114
296,49,114
297,50,114
298,50,114
299,50,114
300,50,114
301,50,114
302,50,114
303,51,114
304,49,114
305,52,114
306,49,114
307,51,114
308,50,114
309,50,114
310,51,114
311,50,114
312,50,114
313,48,114
314,50,114
315,50,114
316,51,114
317,50,114
318,51,114
319,52,114
320,51,114
321,50,114
322,51,114
323,49,114
324,49,114
325,50,114
326,50,114
327,51,114
328,50,114
329,51,114
330,51,114
331,48,114
332,50,114
333,49,114
334,49,114
335,50,114
336,49,114
337,51,114
338,49,114
339,49,114
340,50,114
341,49,114
342,49,114
343,50,114
344,50,114
345,51,114
346,50,114
347,49,114
348,51,114
349,50,114
350,50,114
351,49,114
352,51,114
353,49,114
354,51,114
355,49,114
356,50,114
357,51,114
358,50,114
359,50,114
360,50,114
361,50,114
362,49,114
363,51,114
364,50,114
365,50,114
366,50,114
367,50,114
368,50,114
369,50,114
370,50,114
371,50,114
372,54,114
373,49,114
374,50,114
375,49,114
376,51,114
377,49,114
378,51,114
379,49,114
380,50,114
381,49,114
382,50,114
383,50,114
384,51,114
385,50,114
386,50,114
387,50,114
388,50,114
389,50,114
390,49,114
391,50,114
392,51,114
393,52,114
394,51,114
395,49,114
396,50,114
397,49,114
398,49,114
399,50,114
400,50,114
401,50,114
402,49,114
403,51,114
404,49,114
405,275,114
406,50,114
407,50,114
408,50,114
409,50,114
410,48,114
411,51,114
412,51,114
413,51,114
414,51,114
415,51,114
416,50,114
417,50,114
418,51,114
419,50,114
420,50,114
421,50,114
422,49,114
423,50,114
424,49,114
425,50,114
426,51,114
427,50,114
428,51,114
429,50,114
430,51,114
431,50,114
432,50,114
433,50,114
434,50,114
435,50,114
436,51,114
437,50,114
438,51,114
439,52,114
440,50,114
441,51,114
442,49,114
443,49,114
444,50,114
445,50,114
446,49,114
447,49,114
448,51,114
449,50,114
450,50,114
451,50,114
452,50,114
453,49,114
454,48,114
455,50,114
456,51,114
457,50,114
458,49,114
459,50,114
460,48,114
461,50,114
462,49,114
463,50,114
464,50,114
465,50,114
466,49,114
467,51,114
468,49,114
469,51,114
470,50,114
471,50,114
472,49,114
473,50,114
474,50,114
475,50,114
476,50,114
477,49,114
478,49,114
479,50,114
480,51,114
481,49,114
482,49,114
483,50,114
484,50,114
485,50,114
486,50,114
487,51,114
488,49,114
489,49,114
490,51,114
491,50,114
492,51,114
493,50,114
494,51,114
495,50,114
496,50,114
497,50,114
498,51,114
499,50,114
500,50,114
501,51,114
502,50,114
503,51,114
504,50,114
505,50,114
506,50,114
507,52,114
508,51,114
509,50,114
510,51,114
511,51,114
512,51,114
513,49,114
514,51,114
515,50,114
516,50,114
517,51,114
518,52,114
519,50,114
520,51,114
521,49,114
522,49,114
523,49,114
524,50,114
525,50,114
526,51,114
527,50,114
528,50,114
529,51,114
530,51,114
531,50,114
532,50,114
533,50,114
534,50,114
535,50,114
536,50,114
537,49,114
538,49,114
539,50,114
540,50,114
541,50,114
542,49,114
543,50,114
544,49,114
545,49,114
546,50,114
547,49,114
548,49,114
549,49,114
550,53,114
551,51,114
552,51,114
553,49,114
554,50,114
555,51,114
556,51,114
557,50,114
558,51,114
559,51,114
560,52,114
561,51,114
562,50,114
563,49,114
564,50,114
565,50,114
566,50,114
567,49,114
568,49,114
569,51,114
570,50,114
571,50,114
572,48,114
573,49,114
574,49,114
575,51,114
576,50,114
577,50,114
578,51,114
579,50,114
580,51,114
581,50,114
582,49,114
583,50,114
584,51,114
585,50,114
586,51,114
587,51,114
588,50,114
589,51,114
590,50,114
591,50,114
592,49,114
593,50,114
594,50,114
595,50,114
596,51,114
597,50,114
598,51,114
599,49,114
600,51,114
601,52,114
602,50,114
603,51,114
604,49,114
605,49,114
606,50,114
607,49,114
608,49,114
609,48,114
610,49,114
611,49,114
612,49,114
613,51,114
614,50,114
615,51,114
616,50,114
617,50,114
618,50,114
619,50,114
620,50,114
621,49,114
622,53,114
623,51,114
624,50,114
625,50,114
626,49,114
627,50,114
628,50,114
629,49,114
630,51,114
631,50,114
632,50,114
633,50,114
634,50,114
635,50,114
636,50,114
637,50,114
638,49,114
639,49,114
640,50,114
641,51,114
642,49,114
643,50,114
644,49,114
645,51,114
646,49,114
647,51,114
648,50,114
649,50,114
650,49,114
651,50,114
652,48,114
653,49,114
654,49,114
655,51,114
656,51,114
657,50,114
658,49,114
659,51,114
660,49,114
661,50,114
662,49,114
663,49,114
664,49,114
665,49,114
666,50,114
667,50,114
668,49,114
669,48,114
670,49,114
671,50,114
672,50,114
673,49,114
674,50,114
675,49,114
676,49,114
677,51,114
678,50,114
679,50,114
680,50,114
681,49,114
682,51,114
683,50,114
684,50,114
685,50,114
686,50,114
687,49,114
688,49,114
689,50,114
690,50,114
691,50,114
692,50,114
693,49,114
694,51,114
695,49,114
696,49,114
697,50,114
698,50,114
699,51,114
700,49,114
701,50,114
702,51,114
703,50,114
704,50,114
705,50,114
706,51,114
707,49,114
708,51,114
709,51,114
710,50,114
711,50,114
712,49,114
713,50,114
714,51,114
715,50,114
716,51,114
717,50,114
718,49,114
719,50,114
720,51,114
721,51,114
722,50,114
723,51,114
724,48,114
725,50,114
726,49,114
727,50,114
728,50,114
729,53,114
730,50,114
731,50,114
732,50,114
733,51,114
734,49,114
735,50,114
736,50,114
737,51,114
738,51,114
739,51,114
740,49,114
741,50,114
742,50,114
743,50,114
744,51,114
745,50,114
746,49,114
747,49,114
748,49,114
749,50,114
750,51,114
751,50,114
752,52,114
753,49,114
754,51,114
755,51,114
756,49,114
757,49,114
758,51,114
759,49,114
760,51,114
761,49,114
762,50,114
763,49,114
764,51,114
765,51,114
766,50,114
767,51,114
768,51,114
769,51,114
770,50,114
771,51,114
772,49,114
773,50,114
774,50,114
775,51,114
776,49,114
777,51,114
778,50,114
779,50,114
780,50,114
781,50,114
782,51,114
783,50,114
784,49,114
785,52,114
786,50,114
787,50,114
788,51,114
789,50,114
790,49,114
791,49,114
792,51,114
793,52,114
794,50,114
795,51,114
796,49,114
797,51,114
798,50,114
799,50,114
800,50,114
801,50,114
802,51,114
803,50,114
804,51,114
805,49,114
806,49,114
807,51,114
808,51,114
809,50,114
810,52,114
811,50,114
812,50,114
813,51,114
814,51,114
815,49,114
816,51,114
817,50,114
818,50,114
819,51,114
820,49,114
821,50,114
822,50,114
823,51,114
824,50,114
825,49,114
826,51,114
827,51,114
828,50,114
829,50,114
830,51,114
831,49,114
832,51,114
833,50,114
834,50,114
835,49,114
836,51,114
837,50,114
838,50,114
839,51,114
840,50,114
841,49,114
842,49,114
843,50,114
844,51,114
845,51,114
846,51,114
847,50,114
848,50,114
849,50,114
850,52,114
851,51,114
852,50,114
853,50,114
854,50,114
855,50,114
856,50,114
857,50,114
858,50,114
859,50,114
860,49,114
861,50,114
862,52,114
863,59,114
864,51,114
865,51,114
866,50,114
867,51,114
868,50,114
869,50,114
870,51,114
871,49,114
872,50,114
873,49,114
874,50,114
875,50,114
876,50,114
877,50,114
878,50,114
879,50,114
880,51,114
881,50,114
882,51,114
883,51,114
884,51,114
885,50,114
886,49,114
887,50,114
888,51,114
889,49,114
890,50,114
891,51,114
892,50,114
893,51,114
894,50,114
895,50,114
896,51,114
897,51,114
898,50,114
899,49,114
900,50,114
901,50,114
902,50,114
903,51,114
904,49,114
905,51,114
906,50,114
907,51,114
908,53,114
909,51,114
910,50,114
911,51,114
912,49,114
913,50,114
914,51,114
915,48,114
916,50,114
917,50,114
918,50,114
919,50,114
920,50,114
921,50,114
922,51,114
923,50,114
924,50,114
925,49,114
926,50,114
927,50,114
928,50,114
929,51,114
930,48,114
931,50,114
932,51,114
933,52,114
934,49,114
935,50,114
936,50,114
937,52,114
938,49,114
939,50,114
940,51,114
941,50,114
942,49,114
943,51,114
944,50,114
945,52,114
946,51,114
947,50,114
948,50,114
949,51,114
950,49,114
951,51,114
952,50,114
953,50,114
954,50,114
955,51,114
956,49,114
957,50,114
958,51,114
959,50,114
960,52,114
961,51,114
962,50,114
963,51,114
964,49,114
965,51,114
966,52,114
967,51,114
968,49,114
969,51,114
970,49,114
971,50,114
972,50,114
973,50,114
974,51,114
975,50,114
976,50,114
977,49,114
978,50,114
979,50,114
980,51,114
981,50,114
982,50,114
983,50,114
984,50,114
985,50,114
986,50,114
987,50,114
988,49,114
989,50,114
990,50,114
991,50,114
992,50,114
993,50,114
994,50,114
995,51,114
996,51,114
997,50,114
998,50,114
999,51,114
1000,49,114
