count,time,loc
1,313,122
2,638,126
4,410,128
5,407,129
10,375,134
20,320,144
25,305,149
50,244,174
100,49,114
101,50,114
102,51,114
103,51,114
104,50,114
105,51,114
106,50,114
107,49,114
108,50,114
109,51,114
110,50,114
111,50,114
112,50,114
113,49,114
114,51,114
115,50,114
116,50,114
117,50,114
118,50,114
119,51,114
120,51,114
121,50,114
122,50,114
123,48,114
124,50,114
125,50,114
126,48,114
127,50,114
128,51,114
129,53,114
130,50,114
131,50,114
132,49,114
133,50,114
134,52,114
135,51,114
136,50,114
137,49,114
138,51,114
139,52,114
140,49,114
141,51,114
142,51,114
143,49,114
144,51,114
145,50,114
146,50,114
147,51,114
148,50,114
149,50,114
150,50,114
151,50,114
152,49,114
153,49,114
154,52,114
155,49,114
156,50,114
157,50,114
158,51,114
159,50,114
160,50,114
161,50,114
162,49,114
163,50,114
164,49,114
165,50,114
166,50,114
167,50,114
168,49,114
169,50,114
170,49,114
171,50,114
172,51,114
173,50,114
174,51,114
175,49,114
176,49,114
177,51,114
178,50,114
179,51,114
180,50,114
181,51,114
182,50,114
183,50,114
184,51,114
185,51,114
186,50,114
187,50,114
188,52,114
189,49,114
190,50,114
191,51,114
192,50,114
193,51,114
194,51,114
195,50,114
196,50,114
197,49,114
198,49,114
199,51,114
200,50,114
201,49,114
202,50,114
203,50,114
204,50,114
205,50,114
206,50,114
207,50,114
208,51,114
209,50,114
210,51,114
211,50,114
212,49,114
213,50,114
214,50,114
215,51,114
216,50,114
217,50,114
218,49,114
219,50,114
220,51,114
221,50,114
222,49,114
223,49,114
224,49,114
225,51,114
226,50,114
227,51,114
228,50,114
229,49,114
230,49,114
231,49,114
232,49,114
233,50,114
234,50,114
235,49,114
236,50,114
237,50,114
238,50,114
239,50,114
240,50,114
241,49,114
242,48,114
243,49,114
244,50,114
245,51,114
246,51,114
247,50,114
248,51,114
249,49,114
250,50,114
251,50,114
252,50,114
253,51,114
254,51,114
255,51,114
256,50,114
257,51,114
258,50,114
259,51,114
260,50,114
261,51,114
262,51,114
263,50,114
264,49,114
265,50,114
266,51,114
267,50,114
268,49,114
269,51,114
270,51,114
271,50,114
272,50,114
273,50,114
274,49,114
275,50,114
276,51,114
277,49,114
278,51,114
279,50,114
280,51,114
281,50,114
282,51,114
283,50,114
284,51,114
285,51,114
286,49,114
287,50,114
288,51,114
289,50,114
290,51,114
291,49,114
292,50,114
293,51,114
294,52,114
295,50,114
296,49,114
297,50,114
298,50,114
299,52,114
300,57,114
301,53,114
302,51,114
303,50,114
304,50,114
305,51,114
306,55,114
307,51,114
308,48,114
309,50,114
310,50,114
311,48,114
312,50,114
313,51,114
314,51,114
315,51,114
316,49,114
317,50,114
318,51,114
319,50,114
320,50,114
321,49,114
322,51,114
323,51,114
324,50,114
325,50,114
326,51,114
327,51,114
328,50,114
329,50,114
330,50,114
331,49,114
332,51,114
333,50,114
334,51,114
335,50,114
336,49,114
337,50,114
338,50,114
339,49,114
340,50,114
341,50,114
342,49,114
343,51,114
344,51,114
345,50,114
346,51,114
347,50,114
348,51,114
349,50,114
350,51,114
351,51,114
352,50,114
353,50,114
354,49,114
355,50,114
356,49,114
357,50,114
358,50,114
359,50,114
360,50,114
361,49,114
362,51,114
363,50,114
364,51,114
365,50,114
366,50,114
367,49,114
368,49,114
369,50,114
370,50,114
371,50,114
372,49,114
373,50,114
374,50,114
375,50,114
376,50,114
377,51,114
378,49,114
379,51,114
380,51,114
381,49,114
382,52,114
383,50,114
384,49,114
385,51,114
386,51,114
387,49,114
388,50,114
389,50,114
390,50,114
391,50,114
392,50,114
393,51,114
394,50,114
395,51,114
396,48,114
397,51,114
398,51,114
399,50,114
400,50,114
401,51,114
402,51,114
403,51,114
404,50,114
405,50,114
406,52,114
407,51,114
408,49,114
409,51,114
410,50,114
411,50,114
412,50,114
413,50,114
414,51,114
415,51,114
416,49,114
417,49,114
418,51,114
419,50,114
420,50,114
421,50,114
422,50,114
423,50,114
424,50,114
425,51,114
426,50,114
427,52,114
428,50,114
429,50,114
430,51,114
431,51,114
432,49,114
433,51,114
434,50,114
435,52,114
436,51,114
437,50,114
438,50,114
439,51,114
